artist_name,track_name,genre_name
drake,search & rescue,Hip-Hop
"tyler, the creator",see you again (feat. kali uchis),Hip-Hop
metro boomin,creepin' (with the weeknd & 21 savage),Hip-Hop
j. cole,no role modelz,Hip-Hop
drake,rich flex,Hip-Hop
metro boomin,superhero (heroes & villains) [with future & chris brown],Hip-Hop
nle choppa,slut me out,Hip-Hop
metro boomin,trance (with travis scott & young thug),Hip-Hop
drake,jimmy cooks (feat. 21 savage),Hip-Hop
21 savage,glock in my lap,Hip-Hop
toosii,favorite song,Hip-Hop
kendrick lamar,money trees,Hip-Hop
future,wait for u (feat. drake & tems),Hip-Hop
j. cole,wet dreamz,Hip-Hop
drake,spin bout u,Hip-Hop
frank ocean,pink + white,Hip-Hop
kanye west,heartless,Hip-Hop
"tyler, the creator",sorry not sorry,Hip-Hop
kendrick lamar,pride.,Hip-Hop
lil baby,freestyle,Hip-Hop
drake,knife talk (with 21 savage ft. project pat),Hip-Hop
lil baby,low down,Hip-Hop
j. cole,middle child,Hip-Hop
metro boomin,too many nights (feat. don toliver & with future),Hip-Hop
kendrick lamar,love. feat. zacari.,Hip-Hop
childish gambino,redbone,Hip-Hop
21 savage,runnin,Hip-Hop
tory lanez,the color violet,Hip-Hop
childish gambino,me and your mama,Hip-Hop
kendrick lamar,humble.,Hip-Hop
kanye west,flashing lights,Hip-Hop
j. cole,work out,Hip-Hop
drake,wants and needs (feat. lil baby),Hip-Hop
21 savage,ball w/o you,Hip-Hop
kanye west,bound 2,Hip-Hop
drake,passionfruit,Hip-Hop
"tyler, the creator",new magic wand,Hip-Hop
21 savage,a lot,Hip-Hop
bryson tiller,don't,Hip-Hop
future,puffin on zootiez,Hip-Hop
ice cube,it was a good day,Hip-Hop
drake,fair trade (with travis scott),Hip-Hop
lil baby,drip too hard (lil baby & gunna),Hip-Hop
lil baby,pure cocaine,Hip-Hop
offset,ric flair drip (with metro boomin),Hip-Hop
"tyler, the creator",earfquake,Hip-Hop
frank ocean,lost,Hip-Hop
lil baby,yes indeed,Hip-Hop
childish gambino,les,Hip-Hop
nicki minaj,red ruby da sleeze,Hip-Hop
future,solo,Hip-Hop
kanye west,father stretch my hands pt. 1,Hip-Hop
jay-z,ni**as in paris,Hip-Hop
lil peep,star shopping,Hip-Hop
"tyler, the creator",best interest,Hip-Hop
frank ocean,novacane,Hip-Hop
drake,one dance,Hip-Hop
eminem,mockingbird,Hip-Hop
eminem,the real slim shady,Hip-Hop
"tyler, the creator",dogtooth,Hip-Hop
kendrick lamar,all the stars (with sza),Hip-Hop
bakar,hell n back,Hip-Hop
bizarrap,"shakira: bzrp music sessions, vol. 53",Hip-Hop
kendrick lamar,alright,Hip-Hop
metro boomin,niagara falls (foot or 2) [with travis scott & 21 savage],Hip-Hop
"tyler, the creator",she,Hip-Hop
eminem,without me,Hip-Hop
joey bada$$,love is only a feeling,Hip-Hop
eminem,till i collapse,Hip-Hop
meek mill,going bad (feat. drake),Hip-Hop
21 savage,rich nigga shit (feat. young thug),Hip-Hop
