artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
the pharcyde,runnin',0XgpiStoxq1IJncYlPrvZ5,https://open.spotify.com/artist/7yk35uHNQclPXFGFoTU44w,https://open.spotify.com/track/0XgpiStoxq1IJncYlPrvZ5,hardcore,0.754,0.785,10,-8.178,0,0.18,0.0287,0.00144,0.319,0.821,94.123,296267
terror squad,lean back,2Ozc0me9PV5vlt8cokwdvI,https://open.spotify.com/artist/2BvzbqWWwLN11XGBYgDZzx,https://open.spotify.com/track/2Ozc0me9PV5vlt8cokwdvI,hardcore,0.783,0.916,1,-3.344,1,0.415,0.11,0.0,0.0746,0.695,95.321,247427
method man,i'll be there for you/you're all i need to get by - puff daddy mix,6C3yPXYG2NJYlIYVe5J7hv,https://open.spotify.com/artist/4VmEWwd8y9MCLwexFMdpwt,https://open.spotify.com/track/6C3yPXYG2NJYlIYVe5J7hv,hardcore,0.722,0.745,4,-6.059,0,0.0536,0.151,6.26e-06,0.337,0.607,95.021,309947
the notorious b.i.g.,warning - 2005 remaster,33rsCCLHklTQav9klbpnAi,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,https://open.spotify.com/track/33rsCCLHklTQav9klbpnAi,hardcore,0.596,0.791,11,-7.582,0,0.476,0.345,1.42e-05,0.136,0.399,171.919,220440
turnstile,mystery,5iXnD2VizcAbErpkcuNQ6I,https://open.spotify.com/artist/2qnpHrOzdmOo1S4ox3j17x,https://open.spotify.com/track/5iXnD2VizcAbErpkcuNQ6I,hardcore,0.403,0.892,0,-6.244,1,0.0913,0.00374,0.0113,0.882,0.185,163.991,155200
rise against,give it all,6TTBhxnb9NYT7cz6aLOkBy,https://open.spotify.com/artist/6Wr3hh341P84m3EI8qdn9O,https://open.spotify.com/track/6TTBhxnb9NYT7cz6aLOkBy,hardcore,0.582,0.942,2,-3.098,1,0.0637,0.000371,0.004,0.078,0.357,103.057,170893
mase,what you want (feat. total),6hxn98poTu1O4YZfafvC18,https://open.spotify.com/artist/1wiBLzTI7z9RUwEpNPdFT6,https://open.spotify.com/track/6hxn98poTu1O4YZfafvC18,hardcore,0.838,0.72,10,-6.593,0,0.384,0.0312,1.11e-05,0.422,0.845,93.76,242947
machine girl,mg1,2RD1kXtF0khwaTmr0LG6kv,https://open.spotify.com/artist/17Vw9uuOYB7XYjPt0LNFN0,https://open.spotify.com/track/2RD1kXtF0khwaTmr0LG6kv,hardcore,0.339,0.81,10,-8.407,1,0.376,0.562,0.289,0.593,0.851,93.648,46158
scarface,no tears,6kYTywTCfycHZcH0WdLyRy,https://open.spotify.com/artist/19KwjzvIL92r29IINtlPNP,https://open.spotify.com/track/6kYTywTCfycHZcH0WdLyRy,hardcore,0.88,0.818,1,-7.427,1,0.359,0.0353,0.0,0.713,0.726,81.93,146280
underoath,a boy brushed red living in black and white,47IWLfIKOKhFnz1FUEUIkE,https://open.spotify.com/artist/3GzWhE2xadJiW8MqRKIVSK,https://open.spotify.com/track/47IWLfIKOKhFnz1FUEUIkE,hardcore,0.419,0.932,1,-3.604,0,0.106,0.00171,0.0,0.137,0.445,169.881,268000
machine girl,ghost,4orMsymF399H3xKBc0AIhx,https://open.spotify.com/artist/17Vw9uuOYB7XYjPt0LNFN0,https://open.spotify.com/track/4orMsymF399H3xKBc0AIhx,hardcore,0.705,0.924,11,-6.783,0,0.177,0.00576,0.927,0.36,0.378,154.008,185522
rise against,the good left undone,3Effll2C7OnP2isgbVPJje,https://open.spotify.com/artist/6Wr3hh341P84m3EI8qdn9O,https://open.spotify.com/track/3Effll2C7OnP2isgbVPJje,hardcore,0.179,0.979,1,-3.803,0,0.145,0.000212,1.72e-06,0.131,0.524,197.022,181453
crystal castles,suffocation,33ZJkoSI4m9RzT4rZUthGn,https://open.spotify.com/artist/7K3zpFXBvPcvzhj7zlGJdO,https://open.spotify.com/track/33ZJkoSI4m9RzT4rZUthGn,hardcore,0.544,0.706,11,-5.777,1,0.0302,0.00261,0.0593,0.242,0.146,119.941,240627
the notorious b.i.g.,"nasty girl (feat. diddy, nelly, jagged edge & avery storm) - 2005 remaster",4GIsskMpViPkt0uzPJTJSp,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,https://open.spotify.com/track/4GIsskMpViPkt0uzPJTJSp,hardcore,0.833,0.628,2,-7.041,1,0.141,0.0949,1.6e-06,0.282,0.645,106.328,286187
gang starr,above the clouds,3ZBSXNYdTZVaBUQI3E2rF6,https://open.spotify.com/artist/5cMgGlA1xGyeAB2ctYlRdZ,https://open.spotify.com/track/3ZBSXNYdTZVaBUQI3E2rF6,hardcore,0.462,0.944,8,-2.938,1,0.315,0.312,0.000149,0.367,0.65,172.33,221627
thrice,black honey,5OeY5LebIOzD9Zvat1Dikf,https://open.spotify.com/artist/3NChzMpu9exTlNPiqUQ2DE,https://open.spotify.com/track/5OeY5LebIOzD9Zvat1Dikf,hardcore,0.442,0.892,9,-6.431,0,0.086,0.00267,7.92e-06,0.0758,0.237,151.914,239451
the fall of troy,f.c.p.r.e.m.i.x.,4OsLDuaH0bWR6xM6nj66F8,https://open.spotify.com/artist/5fuQrhMRYMtoO9uOlFad4P,https://open.spotify.com/track/4OsLDuaH0bWR6xM6nj66F8,hardcore,0.226,0.891,9,-5.531,0,0.0702,0.000631,9.75e-06,0.225,0.511,167.876,237680
g-unit,poppin' them thangs,4E5IFAXCob6QqZaJMTw5YN,https://open.spotify.com/artist/6evKD5JWJON3qPBJtUEmtY,https://open.spotify.com/track/4E5IFAXCob6QqZaJMTw5YN,hardcore,0.769,0.818,6,-1.385,0,0.192,0.263,0.0,0.0787,0.918,88.017,240800
black rob,whoa!,71u5SjnkSQgzIt1UzHchbi,https://open.spotify.com/artist/1QPZhx0asYTBxD5RDqfU49,https://open.spotify.com/track/71u5SjnkSQgzIt1UzHchbi,hardcore,0.736,0.705,7,-6.231,1,0.24,0.0579,0.0,0.321,0.557,86.404,238840
raekwon,"ice cream (feat. ghostface killah, method man & cappadonna)",6SI4JD7iyQ0rrudhCNtMv0,https://open.spotify.com/artist/2yQf6b8hxahZaT5dHlWaB1,https://open.spotify.com/track/6SI4JD7iyQ0rrudhCNtMv0,hardcore,0.683,0.902,1,-7.389,0,0.291,0.219,0.000761,0.226,0.724,90.447,253227
big pun,still not a player (feat. joe),5PG3h38oiQLEJlOuOvIs80,https://open.spotify.com/artist/2Xu7q46Hf02xOoEIm4E1Qs,https://open.spotify.com/track/5PG3h38oiQLEJlOuOvIs80,hardcore,0.902,0.614,4,-6.529,0,0.289,0.184,0.000742,0.0867,0.862,94.069,236907
nas,life's a bitch (feat. az & olu dara),2LhhnqrHPWvXYveZVHLKrd,https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q,https://open.spotify.com/track/2LhhnqrHPWvXYveZVHLKrd,hardcore,0.775,0.734,7,-5.41,1,0.215,0.00138,0.0,0.304,0.342,90.001,210840
onyx,slam,0W2mz7mvaBaEsC4rmoRNPn,https://open.spotify.com/artist/10Khz9BDdDT2mzm3330Cvu,https://open.spotify.com/track/0W2mz7mvaBaEsC4rmoRNPn,hardcore,0.876,0.71,11,-12.908,1,0.347,0.0654,0.00312,0.918,0.724,98.305,218333
nas,represent,6DPrhGVJ1WTZvM9fKptnGe,https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q,https://open.spotify.com/track/6DPrhGVJ1WTZvM9fKptnGe,hardcore,0.708,0.832,1,-4.964,1,0.318,0.02,2.8e-06,0.189,0.618,92.428,252600
nas,nas is like,3gY6tiCNsuVi6s8kPV6aQg,https://open.spotify.com/artist/20qISvAhX20dpIbOOzGK3q,https://open.spotify.com/track/3gY6tiCNsuVi6s8kPV6aQg,hardcore,0.634,0.845,11,-5.058,0,0.352,0.00602,5.29e-06,0.0598,0.929,94.0,237027
wu-tang clan,"da mystery of chessboxin' (feat. method man, u-god, inspectah deck, raekwon, ol' dirty bastard, ghostface killah & masta killa)",4xOTVtbCPcfxMs2hSt9D6i,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,https://open.spotify.com/track/4xOTVtbCPcfxMs2hSt9D6i,hardcore,0.925,0.388,2,-10.508,1,0.419,0.336,0.0,0.332,0.359,105.055,287840
slum village,selfish,7sZCAHP2duHwr5M5K7lHsb,https://open.spotify.com/artist/1020a42xVklY6c56imNcaa,https://open.spotify.com/track/7sZCAHP2duHwr5M5K7lHsb,hardcore,0.71,0.597,7,-6.468,1,0.239,0.221,0.0,0.432,0.49,95.769,225400
wu-tang clan,preservation,124DjfCOxrqEXpHD04Hk8i,https://open.spotify.com/artist/34EP7KEpOjXcM2TCat1ISk,https://open.spotify.com/track/124DjfCOxrqEXpHD04Hk8i,hardcore,0.765,0.699,2,-5.28,1,0.0879,0.0522,0.0,0.192,0.334,87.953,146533
crystal castles,untrust us,6RpuNjTsUQo7eByN3kWvYx,https://open.spotify.com/artist/7K3zpFXBvPcvzhj7zlGJdO,https://open.spotify.com/track/6RpuNjTsUQo7eByN3kWvYx,hardcore,0.609,0.807,11,-5.405,0,0.0283,0.0376,0.204,0.13,0.203,125.906,186373
the notorious b.i.g.,notorious thugs (feat. bone thugs-n-harmony) - 2007 remaster,1ozdRCYFVt8Ui0dba1520D,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,https://open.spotify.com/track/1ozdRCYFVt8Ui0dba1520D,hardcore,0.738,0.782,11,-6.315,0,0.169,0.143,6.4e-06,0.176,0.654,154.875,367227
kublai khan tx,the hammer,3M1RZOhzt4lG3vpSYwffhe,https://open.spotify.com/artist/5BIOo2mCAokFcLHXO2Llb4,https://open.spotify.com/track/3M1RZOhzt4lG3vpSYwffhe,hardcore,0.299,0.905,6,-3.638,1,0.156,0.000272,0.0,0.376,0.616,163.368,201697
rise against,help is on the way,09jPXOz0LS0kpqmkQRaFPO,https://open.spotify.com/artist/6Wr3hh341P84m3EI8qdn9O,https://open.spotify.com/track/09jPXOz0LS0kpqmkQRaFPO,hardcore,0.336,0.951,5,-3.587,0,0.0707,0.000123,0.00108,0.0333,0.596,108.043,237480
the notorious b.i.g.,juicy,0HrcwtU2zRij8LsyuLvAtK,https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,https://open.spotify.com/track/0HrcwtU2zRij8LsyuLvAtK,hardcore,0.889,0.818,9,-4.639,1,0.253,0.47,0.0,0.179,0.782,96.063,302760
the used,all that i've got,6IxQ0PdozaZKch1m8tGCwb,https://open.spotify.com/artist/55VydwMyCuGcavwPuhutPL,https://open.spotify.com/track/6IxQ0PdozaZKch1m8tGCwb,hardcore,0.335,0.858,7,-4.565,1,0.0532,0.00289,0.0,0.148,0.451,177.981,230427
