artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
taylor swift,the great war,3UMrglJeju5yWyYIW6o99b,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/3UMrglJeju5yWyYIW6o99b,Pop,0.573,0.741,5,-8.987,1,0.0353,0.219,2.23e-05,0.0842,0.554,96.016,240356
paramore,all i wanted,1Bv3h7Vc4AaYA2BcSM3rVd,https://open.spotify.com/artist/74XFHRwlV6OrjEM0A2NCMF,https://open.spotify.com/track/1Bv3h7Vc4AaYA2BcSM3rVd,Pop,0.494,0.723,6,-4.559,0,0.0441,0.0192,0.0322,0.134,0.152,144.036,225787
rihanna,s&m,7ySUcLPVX7KudhnmNcgY2D,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/track/7ySUcLPVX7KudhnmNcgY2D,Pop,0.769,0.684,1,-5.019,1,0.0411,0.0105,0.000125,0.0887,0.835,127.972,243600
tiësto,10:35,6BePGk3eCan4FqaW2X8Qy3,https://open.spotify.com/artist/2o5jDhtHVPhrJdv3cEQ99Z,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3,Pop,0.696,0.793,8,-5.733,1,0.097,0.0683,3.78e-06,0.18,0.698,120.003,172253
cults,always forever,2enPRFda84VE2wtI8c86Uf,https://open.spotify.com/artist/3Oim8XBPbznAa8Jj8QzNc8,https://open.spotify.com/track/2enPRFda84VE2wtI8c86Uf,Pop,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,223747
taylor swift,snow on the beach (feat. lana del rey),1wtOxkiel43cVs0Yux5Q4h,https://open.spotify.com/artist/06HL4z0CvFAxyc27GXpf02,https://open.spotify.com/track/1wtOxkiel43cVs0Yux5Q4h,Pop,0.663,0.319,9,-13.481,1,0.0375,0.69,0.000993,0.117,0.193,109.957,256124
katy perry,last friday night (t.g.i.f.),3avYqdwHKEq8beXbeWCKqJ,https://open.spotify.com/artist/6jJ0s89eD6GaHleKKya26X,https://open.spotify.com/track/3avYqdwHKEq8beXbeWCKqJ,Pop,0.652,0.812,3,-3.797,0,0.0409,0.00125,3.01e-05,0.667,0.72,126.023,230733
one direction,what makes you beautiful,4cluDES4hQEUhmXj6TXkSo,https://open.spotify.com/artist/4AK6F7OLvEQ5QYCBNiQWHq,https://open.spotify.com/track/4cluDES4hQEUhmXj6TXkSo,Pop,0.726,0.787,4,-2.494,1,0.0737,0.009,0.0,0.0596,0.888,124.99,199987
bailey zimmerman,religiously,0ec7EBr0mjWO6J7TRr09bN,https://open.spotify.com/artist/3win9vGIxFfBRag9S63wwf,https://open.spotify.com/track/0ec7EBr0mjWO6J7TRr09bN,Pop,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,178723
fall out boy,thnks fr th mmrs,3Zwu2K0Qa5sT6teCCHPShP,https://open.spotify.com/artist/4UXqAaa6dQYAk18Lv7PEgX,https://open.spotify.com/track/3Zwu2K0Qa5sT6teCCHPShP,Pop,0.459,0.891,10,-5.057,0,0.0623,0.00511,0.0,0.106,0.588,154.837,203507
the weeknd,often,4PhsKqMdgMEUSstTDAmMpg,https://open.spotify.com/artist/1Xyo4u8uXC1ZmMpatF05PJ,https://open.spotify.com/track/4PhsKqMdgMEUSstTDAmMpg,Pop,0.572,0.631,7,-9.836,0,0.0476,0.222,0.0,0.135,0.0713,134.078,249040
sam smith,stay with me,5Nm9ERjJZ5oyfXZTECKmRt,https://open.spotify.com/artist/2wY79sveU1sp5g7SokKOiI,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt,Pop,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724
