artist_name,track_name,track_id,artist_href,track_href,genre_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
etta james,i just want to make love to you - single version,3QnHWkNMY2mpy494Bis0ly,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,https://open.spotify.com/track/3QnHWkNMY2mpy494Bis0ly,Jazz,0.642,0.523,3,-8.579,1,0.11,0.772,3.26e-06,0.527,0.654,101.635,185627
sérgio mendes,never gonna let you go,5u8bqfaYSh0qVTsgslPknf,https://open.spotify.com/artist/65c5si0ePAwkOCn4M35Ho7,https://open.spotify.com/track/5u8bqfaYSh0qVTsgslPknf,Jazz,0.639,0.403,7,-12.401,1,0.0349,0.567,0.0,0.67,0.324,132.56,255600
kasimir,finally spring,4XT9EDO2LVFzV6as0lGeRd,https://open.spotify.com/artist/0LCKyVSAzqhNLP4yTpnE5Z,https://open.spotify.com/track/4XT9EDO2LVFzV6as0lGeRd,Jazz,0.739,0.216,5,-8.097,0,0.0459,0.126,0.907,0.097,0.515,85.119,118588
charles daisey & friends,that’s gotta be it,0FazSNhRZ6WLccyfjtKFZB,https://open.spotify.com/artist/3w2I7PA6Gx8aD6IZMBJP20,https://open.spotify.com/track/0FazSNhRZ6WLccyfjtKFZB,Jazz,0.313,0.156,5,-19.028,1,0.043,0.985,0.932,0.0835,0.124,45.321,198715
steve luke & holloway,looking forward,1ImSQqQnC1UmJaKtT3GfEp,https://open.spotify.com/artist/4rK2sefIZVrvpsz6MoXKvY,https://open.spotify.com/track/1ImSQqQnC1UmJaKtT3GfEp,Jazz,0.334,0.193,8,-18.841,1,0.0351,0.985,0.966,0.229,0.093,107.149,191875
flks,solar,0K10ENKa2CiPZCVtctyqwf,https://open.spotify.com/artist/0su9f9WdmaeYFON6XEaXb0,https://open.spotify.com/track/0K10ENKa2CiPZCVtctyqwf,Jazz,0.644,0.392,9,-8.629,0,0.0926,0.168,0.713,0.0936,0.461,76.489,166275
robohands,leaves,7aFrMWov54kN7d8lSllHbY,https://open.spotify.com/artist/5qRtt9DQNy64ig66kCWFjX,https://open.spotify.com/track/7aFrMWov54kN7d8lSllHbY,Jazz,0.387,0.444,6,-14.301,0,0.0447,0.245,0.903,0.109,0.177,83.592,194400
chet baker,but not for me - vocal version,3pfbQmD5xGH9Tcc7GqGfSL,https://open.spotify.com/artist/3rxeQlsv0Sc2nyYaZ5W71T,https://open.spotify.com/track/3pfbQmD5xGH9Tcc7GqGfSL,Jazz,0.626,0.152,5,-14.182,0,0.0405,0.934,6.05e-05,0.12,0.545,82.174,184467
"harry connick, jr.",i could write a book,2zSnnXvex1yMcPUn4mg27H,https://open.spotify.com/artist/6u17YlWtW4oqFF5Hn9UU79,https://open.spotify.com/track/2zSnnXvex1yMcPUn4mg27H,Jazz,0.453,0.228,0,-13.907,1,0.0444,0.736,1.32e-06,0.193,0.471,127.497,147067
de la soul,eye know,4sDXEltU35xgga78VFvmJe,https://open.spotify.com/artist/1Z8ODXyhEBi3WynYw0Rya6,https://open.spotify.com/track/4sDXEltU35xgga78VFvmJe,Jazz,0.837,0.809,1,-7.991,1,0.0508,0.175,2.77e-06,0.0784,0.851,109.312,253040
stan getz,corcovado (quiet nights of quiet stars) - single version,5nU7dvOfzYs9QVVL7YVNPE,https://open.spotify.com/artist/0FMucZsEnCxs5pqBjHjIc8,https://open.spotify.com/track/5nU7dvOfzYs9QVVL7YVNPE,Jazz,0.531,0.198,9,-15.811,0,0.039,0.952,0.00267,0.119,0.437,128.038,139987
rita payés,algo contigo,3HMuJG1y7pyjg7Rrk17Rsb,https://open.spotify.com/artist/1XSmez9xyCCPpOZp0uImwM,https://open.spotify.com/track/3HMuJG1y7pyjg7Rrk17Rsb,Jazz,0.602,0.189,9,-10.708,1,0.0343,0.978,0.0152,0.102,0.247,101.241,297665
caravan palace,comics,6mW6lEKUw4or42IEwBCXJe,https://open.spotify.com/artist/37J1PlAkhRK7yrZUtqaUpQ,https://open.spotify.com/track/6mW6lEKUw4or42IEwBCXJe,Jazz,0.552,0.835,1,-5.698,1,0.0796,0.000869,0.0285,0.417,0.564,89.999,212597
rubén blades,amor y control,303cDwi274kSEH0NSR73AX,https://open.spotify.com/artist/5BwMgvRwlq61SmknvsVIQj,https://open.spotify.com/track/303cDwi274kSEH0NSR73AX,Jazz,0.753,0.59,7,-9.622,1,0.0357,0.449,0.0104,0.153,0.863,88.786,352440
sam cooke,i wish you love,7uIaBPSTlBaAQr1asfZ3B4,https://open.spotify.com/artist/6hnWRPzGGKiapVX1UCdEAC,https://open.spotify.com/track/7uIaBPSTlBaAQr1asfZ3B4,Jazz,0.181,0.359,9,-12.46,1,0.0498,0.921,4.9e-06,0.25,0.367,80.954,144907
herbie hancock,cantaloupe island - remastered,0sCeNwt8xRCMR4NhKpMyBe,https://open.spotify.com/artist/2ZvrvbQNrHKwjT7qfGFFUW,https://open.spotify.com/track/0sCeNwt8xRCMR4NhKpMyBe,Jazz,0.515,0.583,0,-8.182,0,0.0284,0.749,0.000294,0.123,0.414,116.11,333947
a tribe called quest,steve biko (stir it up),671sDyeE398eD0sdGuVbZU,https://open.spotify.com/artist/09hVIj6vWgoCDtT03h8ZCa,https://open.spotify.com/track/671sDyeE398eD0sdGuVbZU,Jazz,0.853,0.494,10,-10.911,0,0.201,0.0109,0.000884,0.205,0.341,95.284,191533
roberta flack,feel like makin' love,7gkboYtvhuXNS4EUwmFPcw,https://open.spotify.com/artist/0W498bDDNlJIrYMKXdpLHA,https://open.spotify.com/track/7gkboYtvhuXNS4EUwmFPcw,Jazz,0.681,0.264,8,-21.861,1,0.0309,0.833,0.441,0.103,0.692,93.809,175400
billie holiday,crazy he calls me,4mQz22nF9cyWqwuErTqc6V,https://open.spotify.com/artist/1YzCsTRb22dQkh9lghPIrp,https://open.spotify.com/track/4mQz22nF9cyWqwuErTqc6V,Jazz,0.483,0.145,1,-14.423,1,0.039,0.849,3.5e-06,0.214,0.284,72.863,185280
boney james,"stop, look, listen (to your heart)",24Wg5AQK6AaNyZBTpL1unQ,https://open.spotify.com/artist/1sBRcMH8DDR8Nsk2RoJmjS,https://open.spotify.com/track/24Wg5AQK6AaNyZBTpL1unQ,Jazz,0.575,0.494,11,-12.006,0,0.0346,0.389,0.562,0.0741,0.395,84.909,296320
etta james,trust in me,5Zu9mG353GB3p26t7M5AmR,https://open.spotify.com/artist/0iOVhN3tnSvgDbcg25JoJb,https://open.spotify.com/track/5Zu9mG353GB3p26t7M5AmR,Jazz,0.486,0.377,10,-6.777,0,0.0309,0.776,0.0,0.39,0.5,64.033,178467
irvin smith group,moody promenade,3QDUpdIPgL1NSpCY9aPpbf,https://open.spotify.com/artist/4SL7KeObcdWbpCRzEKlhCJ,https://open.spotify.com/track/3QDUpdIPgL1NSpCY9aPpbf,Jazz,0.558,0.157,9,-17.519,1,0.0335,0.924,0.852,0.0921,0.188,100.764,177448
griz,griztronics ii (another level) vip,0D8OdE68Ppw1jXCA2oCQTo,https://open.spotify.com/artist/25oLRSUjJk4YHNUsQXk7Ut,https://open.spotify.com/track/0D8OdE68Ppw1jXCA2oCQTo,Jazz,0.518,0.913,0,-1.023,1,0.229,0.024,0.105,0.337,0.769,148.957,145655
klim,urban jazz,2ciL24gMyyIbbuL531rTyB,https://open.spotify.com/artist/2mI6A1by7u32RZH8Kf61Kw,https://open.spotify.com/track/2ciL24gMyyIbbuL531rTyB,Jazz,0.633,0.28,2,-11.627,0,0.0285,0.768,0.912,0.0924,0.661,80.043,134306
norah jones,shoot the moon,6Ji1sHZczmntLaTrQa1uLg,https://open.spotify.com/artist/2Kx7MNY7cI1ENniW7vT30N,https://open.spotify.com/track/6Ji1sHZczmntLaTrQa1uLg,Jazz,0.593,0.27,0,-12.142,1,0.0274,0.892,0.00198,0.0976,0.479,74.652,236840
miles davis quartet,smooch,2EgJi1CKzLgsbSRH7A5lcA,https://open.spotify.com/artist/4sQVPSDmfqIxG9W8o2EROX,https://open.spotify.com/track/2EgJi1CKzLgsbSRH7A5lcA,Jazz,0.514,0.0702,2,-16.102,0,0.0468,0.99,0.717,0.111,0.251,136.133,184560
damu the fudgemunk,coco mango diced,2kofUfdako911c3g8PfnxM,https://open.spotify.com/artist/7Mws36yO3takBR2WMsXOkM,https://open.spotify.com/track/2kofUfdako911c3g8PfnxM,Jazz,0.643,0.585,1,-4.323,0,0.0458,0.00669,0.902,0.387,0.952,95.112,109412
stacey kent,ces petits riens,1f5RkzhoRnzCO6AzMhkhdY,https://open.spotify.com/artist/03EYBMnqSchCMp5D9qmFXi,https://open.spotify.com/track/1f5RkzhoRnzCO6AzMhkhdY,Jazz,0.574,0.392,10,-13.092,1,0.056,0.771,0.000356,0.119,0.618,149.137,201057
astoria three,beyond belief,4Y27hhN8JYQnD4XPnqlZsU,https://open.spotify.com/artist/72pfIIbH2JQbShGyx4c7ri,https://open.spotify.com/track/4Y27hhN8JYQnD4XPnqlZsU,Jazz,0.426,0.137,2,-19.003,1,0.033,0.956,0.928,0.122,0.379,55.641,211672
kingsbury station,can't help loving that man,7xTuJi4PK5ujPuf0g19oII,https://open.spotify.com/artist/0yaQHG0mUFfPP4QerRD3zD,https://open.spotify.com/track/7xTuJi4PK5ujPuf0g19oII,Jazz,0.428,0.149,8,-16.993,1,0.037,0.921,0.874,0.099,0.0555,113.258,269030
bladverk band,storvindeln,51JcTTZu3LG8aDEXBA4XzV,https://open.spotify.com/artist/3XGVKlRSkuGWbqonldnI65,https://open.spotify.com/track/51JcTTZu3LG8aDEXBA4XzV,Jazz,0.55,0.153,7,-19.221,1,0.0339,0.914,0.711,0.107,0.0603,54.97,216670
madeleine peyroux,the summer wind,2YA3iikgy6ygLdA8zdeBmu,https://open.spotify.com/artist/7nXyULtoL8k7wP9l6kg8Ef,https://open.spotify.com/track/2YA3iikgy6ygLdA8zdeBmu,Jazz,0.672,0.221,10,-15.009,0,0.0342,0.889,0.412,0.116,0.235,98.969,235373
